YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,PRECTOTCORR_next,TS_next,RH2M_next,PS_next,WS1OM_next,WD1OM_next
1982,3,21,3.85,80.88,1.58,3.51,0.53,2.01,5.84,3.1,4.56,1.46,102.63,4.54,5.66,3.67,1.99,66.12,5.07,6.5,3.8,2.7,66.56,1.61,5.71,84.06,102.19,5.36,138.81
1982,3,22,4.46,84.06,1.61,4.83,2.38,3.61,5.71,3.52,6.3,2.78,102.19,5.36,6.78,3.98,2.8,138.81,6.24,7.94,4.62,3.32,139.81,0.74,5.71,89.06,101.75,3.65,184.81
1982,3,23,4.76,89.06,0.74,4.94,3.28,4.11,5.71,1.85,6.05,4.2,101.75,3.65,5.97,0.63,5.34,184.81,4.18,7.21,0.65,6.57,185.56,7.14,4.98,83.88,101.86,12.03,194.81
1982,3,24,3.97,83.88,7.14,3.25,0.8,2.03,4.98,2.33,4.36,2.02,101.86,12.03,14.57,6.66,7.91,194.81,13.92,16.94,8.07,8.87,135.19,3.83,3.87,76.0,102.42,13.19,354.5
1982,3,25,2.99,76.0,3.83,0.83,-2.86,-1.02,3.87,1.49,1.8,0.31,102.42,13.19,14.87,8.92,5.94,354.5,15.23,17.32,10.27,7.05,355.12,0.13,4.62,70.06,102.6,4.3,264.62
1982,3,26,2.93,70.06,0.13,1.58,-3.25,-0.83,4.62,2.95,3.12,0.17,102.6,4.3,8.34,0.27,8.07,264.62,4.92,9.61,0.25,9.36,265.56,0.0,5.42,72.19,102.09,5.84,220.19
1982,3,27,3.48,72.19,0.0,3.58,-1.1,1.24,5.42,6.34,6.94,0.61,102.09,5.84,7.18,4.48,2.7,220.19,6.77,8.74,4.8,3.94,221.44,0.0,6.65,73.44,101.89,5.02,200.12
1982,3,28,4.21,73.44,0.0,6.08,1.49,3.78,6.65,7.58,9.48,1.9,101.89,5.02,8.24,1.22,7.02,200.12,6.34,10.24,1.79,8.45,200.75,0.0,7.71,74.5,102.13,4.91,211.81
1982,3,29,4.82,74.5,0.0,7.98,3.52,5.75,7.71,7.37,11.69,4.33,102.13,4.91,7.66,0.84,6.82,211.81,6.34,9.82,0.92,8.89,212.5,0.0,7.62,85.25,101.89,9.46,193.62
1982,3,30,5.74,85.25,0.0,8.48,6.02,7.25,7.62,5.41,11.65,6.24,101.89,9.46,12.08,6.45,5.62,193.62,11.94,15.41,8.38,7.03,194.0,0.06,8.27,75.62,101.55,4.48,226.5
1982,3,31,5.62,75.62,0.06,9.97,5.69,7.83,8.27,6.36,13.77,7.41,101.55,4.48,7.84,0.22,7.62,226.5,6.36,10.59,0.16,10.43,227.56,0.17,8.62,79.62,100.73,8.78,292.12
1982,4,1,6.16,79.62,0.17,10.39,6.89,8.64,8.62,6.8,14.07,7.26,100.73,8.78,14.19,4.73,9.45,292.12,11.52,16.98,7.0,9.98,292.5,0.02,7.88,76.44,102.21,7.03,156.62
1982,4,2,4.82,76.44,0.02,7.48,3.54,5.51,7.88,2.33,8.8,6.48,102.21,7.03,12.19,2.49,9.7,156.62,8.35,14.47,2.55,11.91,156.12,0.0,7.9,82.06,102.54,4.07,120.81
1982,4,3,5.37,82.06,0.0,8.18,5.2,6.69,7.9,4.77,11.05,6.27,102.54,4.07,6.84,1.39,5.44,120.81,5.59,9.12,2.21,6.91,121.06,0.07,7.44,83.31,102.73,6.37,148.62
1982,4,4,5.37,83.31,0.07,7.95,5.24,6.6,7.44,3.7,9.61,5.91,102.73,6.37,8.8,2.53,6.27,148.62,8.42,11.16,3.6,7.55,148.75,1.27,7.48,86.56,101.33,6.19,188.38
1982,4,5,5.98,86.56,1.27,8.69,6.58,7.63,7.48,3.17,10.14,6.97,101.33,6.19,7.94,3.82,4.12,188.38,9.16,11.72,6.05,5.67,188.44,0.13,7.18,86.06,101.94,9.18,250.12
1982,4,6,5.8,86.06,0.13,8.38,6.19,7.28,7.18,2.95,9.91,6.96,101.94,9.18,11.63,6.0,5.63,250.12,12.06,14.73,8.44,6.29,235.5,0.04,7.51,85.94,102.57,3.93,133.38
1982,4,7,5.49,85.94,0.04,7.69,5.48,6.58,7.51,2.19,8.94,6.75,102.57,3.93,5.42,2.65,2.78,133.38,5.62,7.34,3.73,3.61,133.44,6.43,6.91,93.75,101.85,6.44,178.06
1982,4,8,5.62,93.75,6.43,6.63,5.71,6.17,6.91,0.99,7.04,6.05,101.85,6.44,7.8,3.56,4.23,178.06,7.48,8.91,4.62,4.29,163.88,0.42,7.62,87.44,101.61,3.72,243.69
1982,4,9,5.55,87.44,0.42,7.52,5.55,6.54,7.62,3.07,9.24,6.16,101.61,3.72,5.44,1.24,4.19,243.69,4.58,6.55,1.6,4.95,229.88,0.01,8.3,89.06,101.9,4.61,183.69
1982,4,10,6.23,89.06,0.01,8.87,7.12,7.99,8.3,5.62,11.81,6.19,101.9,4.61,6.36,2.88,3.48,183.69,6.48,9.2,3.32,5.88,184.5,0.0,8.4,92.25,101.83,3.97,167.56
1982,4,11,6.59,92.25,0.0,9.23,7.99,8.61,8.4,3.63,11.34,7.71,101.83,3.97,5.55,1.96,3.59,167.56,5.98,8.38,3.22,5.16,167.88,0.0,9.84,83.38,101.5,3.46,177.25
1982,4,12,6.77,83.38,0.0,11.19,8.41,9.8,9.84,5.19,13.44,8.25,101.5,3.46,5.18,2.02,3.16,177.25,5.27,7.54,3.34,4.2,177.44,0.0,10.23,86.06,101.66,5.32,167.81
1982,4,13,6.9,86.06,0.0,10.87,8.62,9.74,10.23,3.17,12.35,9.18,101.66,5.32,8.76,1.8,6.97,167.81,7.12,11.2,2.6,8.59,182.69,0.0,10.8,84.0,102.16,3.04,152.12
1982,4,14,6.96,84.0,0.0,11.56,8.84,10.2,10.8,5.6,14.94,9.33,102.16,3.04,5.5,0.41,5.09,152.12,4.38,7.45,0.52,6.93,150.62,0.0,10.48,83.56,101.97,3.15,178.75
1982,4,15,6.96,83.56,0.0,11.55,8.8,10.17,10.48,5.01,14.25,9.24,101.97,3.15,5.0,0.65,4.35,178.75,4.68,7.26,0.94,6.32,179.12,0.0,10.4,77.75,101.45,2.77,176.88
1982,4,16,6.84,77.75,0.0,12.44,8.46,10.45,10.4,5.59,15.12,9.53,101.45,2.77,3.55,1.84,1.72,176.88,4.03,4.95,2.53,2.42,177.06,0.01,10.3,86.06,101.01,2.95,230.25
1982,4,17,7.45,86.06,0.01,12.01,9.73,10.87,10.3,2.98,13.42,10.44,101.01,2.95,5.97,0.45,5.52,230.25,4.34,8.5,0.59,7.91,229.25,0.07,11.16,85.75,100.36,4.45,185.69
1982,4,18,7.75,85.75,0.07,12.53,10.18,11.35,11.16,4.23,14.98,10.76,100.36,4.45,5.53,2.32,3.22,185.69,6.7,8.27,3.45,4.82,185.94,3.3,10.9,87.12,100.69,7.95,326.62
1982,4,19,7.75,87.12,3.3,12.33,10.24,11.29,10.9,4.02,14.34,10.32,100.69,7.95,10.41,3.26,7.14,326.62,11.05,13.1,5.31,7.79,326.44,0.44,9.91,85.06,101.82,5.07,191.75
1982,4,20,6.47,85.06,0.44,10.2,7.79,8.99,9.91,3.15,11.61,8.46,101.82,5.07,9.3,2.28,7.02,191.75,6.74,11.82,3.36,8.46,191.25,0.0,10.48,83.44,101.86,3.77,174.56
1982,4,21,6.71,83.44,0.0,11.09,8.29,9.69,10.48,5.09,13.58,8.49,101.86,3.77,4.75,2.97,1.78,174.56,5.58,6.88,3.66,3.21,175.06,0.0,10.97,85.5,101.32,5.12,180.12
1982,4,22,7.39,85.5,0.0,12.12,9.67,10.9,10.97,5.59,15.05,9.46,101.32,5.12,7.05,2.64,4.4,180.12,7.83,10.68,4.3,6.37,180.19,0.02,11.89,89.19,100.97,5.23,167.19
1982,4,23,8.36,89.19,0.02,13.2,11.4,12.3,11.89,4.64,15.69,11.05,100.97,5.23,5.66,4.06,1.59,167.19,8.06,8.71,6.92,1.78,167.25,0.09,12.34,84.44,101.06,5.72,221.69
1982,4,24,8.24,84.44,0.09,13.88,11.19,12.54,12.34,6.7,18.57,11.87,101.06,5.72,9.48,4.05,5.44,221.69,8.31,12.74,5.52,7.23,221.56,0.0,12.69,80.75,101.6,4.02,239.75
1982,4,25,7.81,80.75,0.0,13.99,10.57,12.28,12.69,6.54,17.98,11.43,101.6,4.02,6.22,1.31,4.91,239.75,5.73,8.53,1.69,6.84,238.31,0.0,12.6,84.88,101.26,3.79,191.56
1982,4,26,8.06,84.88,0.0,13.49,10.91,12.2,12.6,5.01,16.46,11.46,101.26,3.79,6.06,0.69,5.38,191.56,5.54,8.6,1.01,7.59,191.62,3.34,11.82,88.5,100.71,6.62,230.38
1982,4,27,7.93,88.5,3.34,12.52,10.68,11.6,11.82,2.52,14.21,11.69,100.71,6.62,10.3,0.58,9.73,230.38,8.55,12.43,0.84,11.59,230.12,0.41,11.74,86.44,101.23,6.2,230.94
1982,4,28,7.57,86.44,0.41,12.15,9.93,11.04,11.74,3.44,13.78,10.33,101.23,6.2,9.62,1.27,8.35,230.94,8.04,12.01,1.9,10.11,230.5,0.01,11.74,88.12,101.56,5.0,183.88
